ClassN1,ID,TextoTratado,CreateTime,TotalTimeTracked,dominant_topic,top_words
Infrastructure,18262,offline servidor online vmware conseguiu ligar maquina forcar ligamento funcionou corretamente foto apareceu,15/07/2025 08:32:16,1080,8,"xml, sql, mysql, pdf, txt"
ERP,18261,entrar fechamento entrando fechamento,15/07/2025 08:23:27,300,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18260,falha registrar entrada tentado,15/07/2025 08:23:00,300,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18259,indisponivel acessar realizacao batida,15/07/2025 08:22:59,180,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18258,aplicativo web bater,15/07/2025 08:22:50,180,8,"xml, sql, mysql, pdf, txt"
ERP,18257,enfrentando acesso portal totvs realizar registro apresenta login verificacao normalizacao,15/07/2025 08:22:34,180,8,"xml, sql, mysql, pdf, txt"
ERP,18256,sat conseguiu bater entrada app funciona,15/07/2025 08:22:27,300,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18255,acessar registro notebook print notebook,15/07/2025 08:22:19,300,0,"first, seven, not, three, public"
Infrastructure,18254,dispositivo aconcagua off minutos disparando condicao device,14/07/2025 18:07:49,1320,0,"first, seven, not, three, public"
Infrastructure,18251,reservado leitura assinaturas documentos,14/07/2025 16:40:44,2100,7,"entregas, telas, ferias, pastas, obras"
Infrastructure,18250,espaco livre volume disco dispositivo prov,14/07/2025 16:27:58,780,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18249,bloqueio acesso colaborador lemos brasileiro,14/07/2025 15:49:04,300,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
Infrastructure,18248,reuniao acesso via rdp,14/07/2025 15:46:01,1740,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18247,acesso configurado acesso remote app testado funcionou corretamente,14/07/2025 15:44:57,1620,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18246,reuniao implantacao tpi,14/07/2025 15:16:50,2400,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18244,realizar instalacao software ucinet maquina,14/07/2025 14:52:29,1200,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18242,marra maquina telefone,14/07/2025 13:47:42,2280,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18240,ajustar evento totalizador planilha orcamento funcionario,14/07/2025 13:06:37,420,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18239,engenheiro programar ferias,14/07/2025 13:06:13,720,7,"entregas, telas, ferias, pastas, obras"
Infrastructure,18238,acontecido recorrentemente online omnichannel verdade offline fila recepcionistas conferem apesar online fila verificou disse falha,14/07/2025 12:34:16,1380,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18237,reuniao tratar pedidos controlemp,14/07/2025 12:23:32,5400,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18236,envio funcionario urgencia formatar computadores liberar acesso servidor agendamento funcionarios,14/07/2025 11:33:22,5820,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18234,testes versao futuras migracoes clientes,14/07/2025 11:18:19,3600,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18232,registro reuniao,14/07/2025 10:49:54,1800,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18230,cadastrar coligada filial totvs spe ataia empreendimentos imobiliarios mgltda filial mspe ataia empreendimentos imobiliarios mgltda,14/07/2025 09:59:47,11580,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18229,incluir controle alcada centro custo icv instituto cultural vale campos jacobs melo melo cassini,14/07/2025 09:55:51,720,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,18228,acessos,14/07/2025 09:50:21,240,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18227,configuracoes computador,14/07/2025 09:29:45,13440,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18226,criar usuario fluig,14/07/2025 09:24:43,660,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18225,engenheiro obra teixeira acessar portal colaboradores acessam usuario senha incorretos redefinicao senha funciona,14/07/2025 09:10:00,6420,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18223,liberar pacote office computadores estagiarios obra valente,14/07/2025 08:32:07,2820,0,"first, seven, not, three, public"
ERP,18222,realizando cadastros admissao coligadas golf spe americas mostrando certificado vencido envio eventos inclui certificado certificados renovados senha jhal,14/07/2025 08:25:18,12060,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18220,gerar nota fiscal apareceu definido periodo usuario permissao inserir lancamentos coligada alterar usuario gerar alteracao consegui gerar seja liberado usuario medidas atualizacao,14/07/2025 08:15:01,540,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,18219,fatura online kiosk centro administracao pagamento efetuado desconsidere configurada pagamento cartao credito necessaria examinar historico assinaturas centro administracao,14/07/2025 02:40:10,60,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18218,fatura power pro centro administracao pagamento efetuado desconsidere configurada pagamento cartao credito necessaria examinar historico assinaturas centro administracao,14/07/2025 02:18:53,60,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18217,fatura business basic centro administracao pagamento efetuado desconsidere configurada pagamento cartao credito necessaria examinar feitas historico assinaturas centro administracao,14/07/2025 01:52:33,60,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18216,atualizado fechado,13/07/2025 22:16:23,240,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18215,ddns net prestes expirar confirme host evitar seja removido dns dinamico aprimorado obter beneficios adicionais remover necessidade confirmacao dias,13/07/2025 17:05:44,120,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18213,comprovante pagamento contratos apresentando emitido mensagens erros,11/07/2025 17:41:57,780,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18208,liberar correcao comissoes faturamento empresas listadas medidas baixa atualizacao relevantes incluidos,11/07/2025 15:17:21,660,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
Infrastructure,18207,migrar pasta pocos caldas alc pdc conta pastas correspondentes pocos caldas alc pdc projetos,11/07/2025 15:01:07,9960,7,"entregas, telas, ferias, pastas, obras"
ERP,18205,usuarios relataram formula visual rateio projeto tarefa rateio avaliamos casos parametros apresentando faturamento movimentos medicao entrada nota fiscal faturamento requisicao material solicitacao compra relacionado cadastro produtos identificar,11/07/2025 13:25:08,7080,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18199,especificar modelos equipamentos diretoria tamanho polegadas,11/07/2025 09:43:03,16620,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18195,acessar slide,11/07/2025 09:12:47,1800,0,"first, seven, not, three, public"
ERP,18189,cadastrar tolerancia minutos atrasos extras apresenta configurar,10/07/2025 17:57:02,660,5,"carrega, sinaliza, possuia, inclui, executou"
Infrastructure,18175,criacao procedimento alteracao wallpaper via gpo,10/07/2025 15:29:54,6900,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18166,acesso coligada permissoes,10/07/2025 12:25:58,540,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18149,layout ecf totvs urgencia,09/07/2025 16:14:58,4500,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18124,acesso coligada permissoes,09/07/2025 10:40:36,1500,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18123,cadastrando secao coligada salvamento aparece,09/07/2025 10:39:53,9180,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18120,receita indo conta contabil correta calculando iss receita,09/07/2025 09:35:43,3600,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18085,correcao incc apresentado dashboard maio divergente calculo feito planilha excel dashboard planilha comparacao ocasionando diferenca,08/07/2025 09:26:42,36060,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18077,contratando estagiarias projetos estacao trabalho sugiro pedir notebook barros configuracoes rodar autocad sketchup archicad totvs licenca autocad alinhando contrato faculdade andamento,07/07/2025 19:11:28,3900,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17997,alterar plano fundo duvida retorne,03/07/2025 11:35:37,1500,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,17982,acesso obra jambreiro fleming gerar relatorio imprimir holerites gera obra jambreiro obra fleming,03/07/2025 08:29:17,2220,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17913,cadastrar eventos realizar desconto credito consignado trabalhador seja criado totvs eventos inserir desconto credito consignado emprestimo governo folha,01/07/2025 14:30:30,6120,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,17911,cadastrar neooh cnpj,01/07/2025 11:32:30,9300,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17910,acesso contracheques ferias funcionarios obra spe americas,01/07/2025 11:31:46,1080,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,17883,adaptador reconhecido mousse funcao rolagem funcionando coreldraw abre mensagens,30/06/2025 11:18:48,4200,8,"xml, sql, mysql, pdf, txt"
