ClassN1,ID,TextoTratado,CreateTime,TotalTimeTracked,dominant_topic,top_words
ERP,18087,realizar alteracao manual banco horas especifico colaboradora recalculado parametros desconsideradas apagadas banco horas diario,08/07/2025 09:32:53,2340,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
Infrastructure,18086,instalar qgis maquina,08/07/2025 09:32:10,2040,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18084,criar conta helpdesk aquisicao licenca transferir permissoes admin conta conversado aprovado telefone,08/07/2025 09:23:58,4800,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18083,compartilhar pasta geologia exploracao southatlantic,08/07/2025 09:15:52,2760,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18082,acesso intranet dele acesso obras projetos pendencias solicitacao acessos colaborador supriani,08/07/2025 08:59:51,3900,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18081,acessar construcoes obras projetos acesso seja necessario chamar teams haja conexao via anydesk,08/07/2025 08:46:51,420,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,18080,auxilio instalacao telefones direcionamento vlan correta,08/07/2025 08:40:27,16200,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18079,formulario liberacao acessos comecara amanha itens marcados formulario acessos pasta compartilhada obra qualitab,08/07/2025 08:11:52,1140,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18078,espaco livre volume disco,07/07/2025 22:55:39,0,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18076,acesso plataforma clock dias visto reconhecimento facial colaboradores implantacao biometria facial escritorio,07/07/2025 17:25:11,960,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18075,realizando compras enviar permitiu apareceu olhada,07/07/2025 16:50:20,540,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18074,conferencia gastos saindo coligada teria replicar coligadas,07/07/2025 16:49:18,480,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,18073,instalar python anaconda pandas notebook acesso anydesk,07/07/2025 16:20:58,720,8,"xml, sql, mysql, pdf, txt"
ERP,18072,estoque lancamento certo baixa notas lancadas aparece baixar notas,07/07/2025 16:18:14,2160,7,"entregas, telas, ferias, pastas, obras"
ERP,18071,coligadas autonomos geracao sesta erros relacionados rubricas cadastradas labore pagamento autonomo feito folha pagamento prestacao servicos necessario lancar folha configurar,07/07/2025 16:10:41,5700,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18070,instalacao ponteira cabo rede localizado sala visa cis conexao impressora configuracao notebooks visa cis impressora,07/07/2025 15:31:26,4920,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18069,remover sst novolar acessos colaboradora,07/07/2025 15:29:37,300,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18067,gerar campos preenchidos corretamente acaso mudanca,07/07/2025 15:07:12,7680,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
Infrastructure,18066,tire colaboradores pedimos acesso inclua colaboradores,07/07/2025 14:07:01,3180,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18065,importar lancamentos folha coligada retc infraestrutura lote haja inconsistencia,07/07/2025 13:37:52,360,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18064,enviar reinf coligada zeta aparece falha processar eventos identificadores tipos conectar tss impossivel conectar servidor remoto,07/07/2025 12:15:54,480,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18063,vincular centro custo custos evento macrotec natureza orcamentaria,07/07/2025 11:36:06,240,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18062,aprovacoes ordem compra abib exemplos movimentos easyword salus sill,07/07/2025 11:20:40,660,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18061,acesso perfil incorporacao coligada mirante fconsegue fconstrutora,07/07/2025 11:03:10,2100,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18060,realizei testes empresas utilizam vale transporte otimo apresentaram importacao exceto turmalina entanto turmalina inconsistencia recarga faltou colaborador utiliza vale transporte matricula dele puxado recarga correspondente gerada,07/07/2025 10:40:55,0,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18058,criar usuario senha colaboradora matricula aprendiz colaboradora registrar relogio fisico instalado escritorio enga coligada,07/07/2025 10:07:01,360,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18057,criar usuario senha colaborador matricula aprendiz colaborador registrar relogio fisico instalado escritorio enga coligada,07/07/2025 10:06:00,300,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18056,criar usuario senha colaborador matricula aprendiz colaborador registrar relogio fisico instalado escritorio enga coligada,07/07/2025 10:05:26,180,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18055,criacao vlan telefonia,07/07/2025 10:03:49,1500,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18054,conseguem enviar possuam colaboradores utilizam periodo formato excel cargo utilizam periodo,07/07/2025 10:00:03,2880,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18053,acesso bloqueados cancelamento bloqueio acessos colaboradora pagani programas realizar bloqueio,07/07/2025 09:43:49,180,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,18052,liberacao registro geolocalizacao colaboradora chapa coligada periodo determinado necessario voltaremos bloquear,07/07/2025 09:32:52,540,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,18051,auxilio determinar tabelas insumos repassadas via teams apontamento autorizado,07/07/2025 09:20:15,1800,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18050,aumentar espaco usuario pcp salvar documento,07/07/2025 09:14:14,2160,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18049,notebooks formatacao formatar computadores,07/07/2025 09:09:12,16380,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18047,backup rpo violation somasrvw was not copied within days hours minutes processamento finalizado avisos,07/07/2025 08:07:41,720,0,"first, seven, not, three, public"
ERP,18046,liberar autorizacao alteracao pedidos sap,04/07/2025 17:50:04,60,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18045,dominio rec caindo spam clientes,04/07/2025 16:06:24,420,8,"xml, sql, mysql, pdf, txt"
ERP,18044,cliente acesso portal cliente baixar boleto desbloquear acesso dele urgencia medidas atualizacao,04/07/2025 16:03:49,780,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18042,cliente acesso portal cliente baixar boleto desbloquear acesso urgencia medidas atualizacao,04/07/2025 15:02:05,1440,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18041,liberar acesso portal,04/07/2025 14:30:05,660,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18040,realizar alteracao nota fiscal apresentou realizei cancelamento lancamento apresentou exclusao,04/07/2025 14:17:54,1800,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18039,cliente acesso portal cliente baixar boleto desbloquear acesso dele urgencia medidas atualizacao,04/07/2025 13:33:20,720,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18038,enfrentando cancelar lancamentos extrato conta itau filtrar valores filtro compensados valores necessario cancelar compensacao extratos compensados,04/07/2025 11:21:28,1080,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18037,firewall queda aps switches,04/07/2025 10:36:06,900,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18036,relatorio firewall relatorio firewall docx,04/07/2025 10:34:43,3300,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18035,checar usuario archicad normal acessar atalhos configurei usuario deslogado usando versao teste checar,04/07/2025 10:00:06,1140,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18034,lancamento financeiro fizemos rescisao funcionaria buritis rescisao zerada pagamento lancar pagamento financeiro lanca liquido rescisao complementar tourinho situacao,04/07/2025 09:53:31,1620,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18033,portal cliente,04/07/2025 09:45:06,1500,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18032,inclui horario coligada permissao incluir jornada liberar,04/07/2025 09:27:08,840,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,18031,computador conectando conta teams,04/07/2025 09:05:52,0,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18030,computador backup computador,04/07/2025 08:53:53,660,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18029,relatorio firewall,04/07/2025 08:51:47,2520,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18028,criacao login liberacao acesso sap portal suplementacao ambiente fiori totvs unifier colaborador,03/07/2025 18:20:33,180,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18027,rede bloqueados bloquear acesso porta cancelar programas colaboradora horta retirar equipamento mesa,03/07/2025 17:36:29,300,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18025,importacao arquivo vale transporte site otimo persiste arquivo,03/07/2025 16:56:55,4620,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18024,backup bkp wasabi srvw \bkp srvw falha publicar metadados deteccao malware catalogo processamento finalizado avisos,03/07/2025 16:55:18,1680,8,"xml, sql, mysql, pdf, txt"
ERP,18023,programar bloqueio acesso colaboradora vargas medico trabalho hdo portas bloqueados,03/07/2025 16:47:22,0,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18022,enviar social rescisao matr gerar social clicar enviar validando apresenta ocorrido,03/07/2025 16:46:31,0,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18019,ocorrido realizei alteracao cadastro matr gerei social status clicar enviar validando apresenta,03/07/2025 16:05:55,480,5,"carrega, sinaliza, possuia, inclui, executou"
Infrastructure,18018,rescisao contrato estagio formulario passou processo estudar arquitetura hungria puc agosto,03/07/2025 16:04:46,660,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,18017,fazendo lancamento financeiro coligada recesso entanto apresenta,03/07/2025 16:04:10,840,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18016,desligamento bloqueio acessos corretores thiobaldo novolar indaiatuba,03/07/2025 15:34:08,300,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18015,criado login acesso totvs efetuar movimentacao programa entro vejo abas coligadas realizar movimentacao emissao medidas atualizacao,03/07/2025 15:32:28,660,7,"entregas, telas, ferias, pastas, obras"
ERP,18014,colaboradora saindo relatorio aniversariante errado gerencia suprimentos novolar saiu revise relatorio havendo falha geracao,03/07/2025 15:31:38,420,5,"carrega, sinaliza, possuia, inclui, executou"
Infrastructure,18013,reuniao entendimento webservice nuvem,03/07/2025 15:23:32,4560,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18012,backup imagens aparelhos ultrassom eco,03/07/2025 14:44:49,3360,8,"xml, sql, mysql, pdf, txt"
ERP,18011,alterar finalizar pagamento fornecedor,03/07/2025 14:42:18,1560,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,18010,olha virus,03/07/2025 14:37:29,840,0,"first, seven, not, three, public"
ERP,18009,fazendo registros atendimentos fale salvei finalizado registro completar,03/07/2025 13:59:47,960,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,18008,importacao planilha eventos fpr reformulacao orcamentaria minas,03/07/2025 13:48:59,9300,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18007,reformulado,03/07/2025 13:48:00,3180,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18005,backup bkp wasabi srvw \bkp srvw avisos falha publicar metadados deteccao malware catalogo vms somasrvw somasrvw,03/07/2025 13:42:17,0,8,"xml, sql, mysql, pdf, txt"
ERP,18004,acesso espelho folha pagamento agendamento ferias servicos estavam liberados acessar folha pagamento obra transferido sodre,03/07/2025 13:29:11,420,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18003,backup bkp wasabi srvw \bkp srvw avisos vms publicar metadados deteccao malware catalogo,03/07/2025 13:28:04,0,8,"xml, sql, mysql, pdf, txt"
Infrastructure,18001,backup bkq wasabi srvw \bkp srvw terminou falha publicar metadados deteccao malware catalogo processamento finalizado avisos,03/07/2025 12:58:23,0,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18000,notebook conectando internet cabo conectado,03/07/2025 12:00:03,1140,8,"xml, sql, mysql, pdf, txt"
ERP,17999,usuario perfil colaboradora matricula enga coligada registrar geolocalizacao pertencia coligada buritis admitida enga coligada,03/07/2025 11:58:05,660,6,"ajustado, usado, explicado, solicitada, admitida"
Cyber Security,17998,sat apontamento horas sat,03/07/2025 11:50:29,7860,0,"first, seven, not, three, public"
ERP,17996,bloqueio usuario pimenta imobme xrm,03/07/2025 11:34:55,180,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,17995,bloqueado bloqueios acesso desligamento,03/07/2025 11:32:26,300,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,17994,bloqueado bloqueios acesso desligamento,03/07/2025 11:29:18,0,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,17993,guia qualificacao fornecedor acesso autorizar,03/07/2025 11:25:21,540,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,17992,bloqueado bloqueios desligamento,03/07/2025 11:25:13,180,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,17991,seja criado disponibilizar,03/07/2025 10:49:57,120,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,17990,backup bkp wasabi srvw \bkp srvw apresentou avisos falha publicar metadados deteccao malware catalogo vms somasrvw somasrvw processamento finalizado avisos,03/07/2025 10:46:51,0,8,"xml, sql, mysql, pdf, txt"
ERP,17989,importar arquivo vale transporte site otimo apresentado empresas ultima atualizacao atualizacao importacao funcionava erros apresentados template exportado totvs template importacao,03/07/2025 10:38:00,2700,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17987,backup bkp wasabi srvw \bkp srvw terminou avisos falha publicar metadados deteccao malware catalogo vms antigo somasrvw,03/07/2025 10:20:23,0,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17986,acessar contas teams troca computador urgencia,03/07/2025 09:04:21,6720,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17984,desenvolvida formula visual usuario salvar movimentos projeto tarefa solicitacoes criadas salvas projeto tarefa formula visual exemplos,03/07/2025 08:52:37,3360,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,17983,bloqueado desligamento bloqueio acessos corretor przybylski,03/07/2025 08:46:02,300,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,17981,liberacao aba gestao financeira consulta cadastro fornecedor,03/07/2025 08:22:06,300,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17980,exportar mapa coletas precos backoffice,03/07/2025 07:29:33,720,7,"entregas, telas, ferias, pastas, obras"
Infrastructure,17972,backup bkp srvw falhou processar vms criar snapshot somasrvw operacao permitida atual,02/07/2025 20:35:30,780,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17963,dispositivo somasrvw offline minutos acionando condicao device,02/07/2025 19:34:37,8700,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17962,relatorio firewall relatorio firewall docx,02/07/2025 17:24:03,960,8,"xml, sql, mysql, pdf, txt"
ERP,17961,programar ferias dias,02/07/2025 17:24:02,540,7,"entregas, telas, ferias, pastas, obras"
Infrastructure,17960,relatorio firewall relatorio firewall docx,02/07/2025 17:07:33,420,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17959,relatorio firewall relatorio firewall docx,02/07/2025 17:00:08,1320,8,"xml, sql, mysql, pdf, txt"
ERP,17958,troca horario funcionarios melo servente entrada hrs saida hrs entrada hrs saida hrs servente entrada hrs saida hrs entrada hrs saida hrs,02/07/2025 16:56:50,120,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17956,engenheiro recuperar senha portal chegando dele,02/07/2025 16:55:18,300,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,17955,realizarem formatacao computador amanha atentar sincronizacao onedrive precisara backup perder documentos computador formatacao completa conta autodesk,02/07/2025 16:46:27,6360,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17954,acessos login acesso rede pasta qualidade acesso intranet acesso acesso impressora escritorio sala administrativa marketing instalacao aplicativo teams instalacao itens notebook disponibilizado,02/07/2025 16:30:12,1440,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,17953,notebooks modelos,02/07/2025 16:07:54,4800,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,17952,portal aparece corrigido parcelas juros multas contrato turmalina,02/07/2025 15:54:39,1440,7,"entregas, telas, ferias, pastas, obras"
ERP,17951,transferida obra acesso contracheques portal totvs contracheque abril,02/07/2025 15:37:14,420,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17950,pedir verifique turmalina problemas premio,02/07/2025 15:24:42,300,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17949,atualizacao totvs acessar pert situacao,02/07/2025 15:14:09,840,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17948,duvida corrigir parcela financiamento acordado cliente parcela financiamento corrigida ipca vencimento corrigir informada vencimento estiver errado,02/07/2025 14:45:24,2400,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,17946,relatorios relatorio colaborador colaborador secao coligada relatorio usuarios opcao geolocalizacao ativa,02/07/2025 14:09:52,1560,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,17945,colegas externos possam receber opcao abri respectivos aplicativos atualmente permitido navegador desconfigura formatacao,02/07/2025 13:51:51,720,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,17944,acesso portar dho,02/07/2025 13:23:02,300,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17943,enviar social rescisao colaboradora pinheiro matricula validando apresenta requisicao invalida ocorrido,02/07/2025 12:19:23,240,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,17942,funcoes backoffice construcao obras projetos ativas valente,02/07/2025 12:19:13,900,7,"entregas, telas, ferias, pastas, obras"
ERP,17941,reset colaboradores alteracao realizada colaboradores,02/07/2025 12:07:56,1560,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,17940,possibilidade ajustar cascata medicoes etapa suprimentos dividido acordo medicao atualmente diferenciar fornecedor produto seja incluir botao medicoes filtro medicoes altas equipamentos,02/07/2025 11:47:12,600,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17939,analisar ocorrido enviar social admissao matr gerar clicar enviar validando apresenta efetivar envio admissao envio realizado,02/07/2025 11:42:53,1680,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,17938,backup plan backup completed with warnings connection code could not connect server the remote name could not resolved auth services mspbackups see the details above,02/07/2025 11:40:11,0,0,"first, seven, not, three, public"
ERP,17937,inclua viana comprador coligadas,02/07/2025 11:40:04,600,5,"carrega, sinaliza, possuia, inclui, executou"
Infrastructure,17936,acesso perfil possibilidade query arquivo excel query precos historicos salvo pasta compras \\somasrvw,02/07/2025 11:23:20,1020,0,"first, seven, not, three, public"
Infrastructure,17935,incluir glaycon hub copiar glaycon emails ordem compra,02/07/2025 10:47:21,120,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17934,integracao funcionarios time sat acesso app colaboradores membros colaboradores criacao login senha pires,02/07/2025 10:05:48,2040,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,17933,coligada campinho gerar lancamento financeiro irrf fgts lancamentos coligada,02/07/2025 09:56:07,1320,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,17930,recebemos questionamento orcamento firewall auxilio responder fornecedor,02/07/2025 09:00:00,720,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,17929,criacao corporativo auxiliar almoxarifado hub savassi glaycon cargo auxiliar almoxarifado unidade hub savassi fico acesso,02/07/2025 08:24:12,1260,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,17928,liberar acesso pasta engenharia hub acessar pasta contratos,02/07/2025 08:12:53,600,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17925,consulta comprovantes coligadas constando pagadora comprovantes emitidos correta prints consulta print agencia cnpj,01/07/2025 17:07:27,1680,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17924,ocorrencia medicoes possuem ccusto ateg estarem opcao aprovacao automatica funcionalidade condicionada medicoes ccusto ateg consulta seven prestacoes contas print,01/07/2025 17:06:31,300,0,"first, seven, not, three, public"
BI,17922,dashboard saldo casas inas grafico divergente,01/07/2025 17:00:31,9300,7,"entregas, telas, ferias, pastas, obras"
Infrastructure,17921,tento conectar vpn janela abre configuracao acesso,01/07/2025 16:58:01,540,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,17920,liberar acesso lancamento atestado medico obra,01/07/2025 16:57:55,300,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,17919,the three new users below have been created the tenant with business basic with teams licenses procured and provisioned the temporary password the same each and reset along with their own authentication upon first login niket intuityperformance faithfulness alamu intuityperformance victory garuba intuityperformance temporary password temppassnicket account creation process showed errors removed and reassigned the license initiate mailbox creation side there are issues accessing the account get touch with details and investigate,01/07/2025 16:55:34,0,0,"first, seven, not, three, public"
ERP,17918,aplicativo colaborador viana atualizando print situacao atual admissao coligada admitido coligada,01/07/2025 16:12:20,420,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17917,criacao regra alunos estiverem rede escola mfa,01/07/2025 15:17:36,2400,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17916,medicao cliente trazendo municipio integracao tcop nucleus base oficial processo essencial cotrin utiliza rateio municipio medicao,01/07/2025 15:08:33,2400,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,17915,configurar notebook qualidade,01/07/2025 15:04:30,3360,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17914,atualizacao base teste backup,01/07/2025 14:53:52,2040,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,17912,mapear pasta faria acesso edicao pasta duvida contactar,01/07/2025 13:35:36,600,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17909,prosseguir faturamento direto contrato vide deducoes faturamento direto realizadas seguida feito faturamento,01/07/2025 11:31:01,1620,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,17908,crescer criacao correa vinq tiverem acesso,01/07/2025 10:16:54,1140,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
Infrastructure,17907,instalacao maquina,01/07/2025 10:08:09,4800,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,17906,chegou virus querer querendo baixei arquivo achei passando mostrar pre visualizacao deletei,01/07/2025 09:46:03,360,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,17905,acesso movimentos modulo gestao estoque compras acerto contabil lancamentos eventos especialmente alterar amarracao conta contabil evitar lancamentos incorretos,01/07/2025 09:26:04,1200,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,17904,cadastrar funcionario suprimentos viana viana grupos flow casa compras,01/07/2025 09:15:54,240,9,"encerrados, faturados, criadas, corrompidos, contabilizados"
ERP,17903,parametrizar visao time portal,01/07/2025 09:15:42,13080,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,17902,disponibilizar acesso funcionario suprimentos viana perfil acesso possui,01/07/2025 09:11:47,360,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17901,recebendo funcionario viana adequar acessos dele necessidades suprimentos bloquear acessos anteriores configurar perfil intranet alterar perfil acesso dele permissoes pastas rede bloquear acessos anteriores edicao pasta compras configurar computador,01/07/2025 08:51:09,2460,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17900,sanar problemas cotacoes cotacao item multiplicando total unidades mantendo preco unitario apresentando fechar cotacao emitir ordem compra atualizacao compra parcial voltamos item cotacao itens voltando cotacao item entregue,01/07/2025 08:59:07,12300,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,17899,recebendo funcionario viana adequar acessos dele necessidades suprimentos bloquear acessos anteriores configurar perfil intranet alterar perfil acesso dele passar permissoes possui pastas rede bloquear acessos anteriores acesso edicao pasta compras configuracao configurar computador necessidade telefones,01/07/2025 08:51:09,2520,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17898,atestados emp spe moinho alterar,01/07/2025 08:44:55,720,3,"instalar, liberar, transferir, recuperar, portar"
Web services,17897,can you update the the annual financials and,01/07/2025 08:04:19,0,0,"first, seven, not, three, public"
Web services,17896,update the the current annual general meeting details held tuesday attached the proxy vif info circular and card,30/06/2025 17:17:17,0,0,"first, seven, not, three, public"
Infrastructure,17895,assinador utilizamos passou instalacao componente conseguir assinar documentos devemos proceder conseguiriam instalar maquinas diretamente,30/06/2025 16:56:32,120,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,17893,liberar acessos gerador relatorios auxiliar indicadores,30/06/2025 16:02:45,1500,4,"modelos, produtos, itens, fornecedores, cadastros"
ERP,17892,reuniao alinhamento demandas,30/06/2025 15:39:30,2340,7,"entregas, telas, ferias, pastas, obras"
BI,17891,perfil usuario colaborador viana matricula registrar aparelho fisico instalado escritorio colaborador demitido coligada contratado enga coligada,30/06/2025 14:54:18,900,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,17889,espaco livre volume disco,30/06/2025 14:20:15,0,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,17887,perdi senha acesso control cadastro colaborador relogio hub enviar,30/06/2025 14:09:35,120,0,"first, seven, not, three, public"
Infrastructure,17885,retirem funciona,30/06/2025 12:55:22,300,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,17884,fechamento importando batidas saida,30/06/2025 11:33:55,3120,7,"entregas, telas, ferias, pastas, obras"
Infrastructure,17882,configurando notebook decidam suprimentos qualidade,30/06/2025 10:54:53,3000,8,"xml, sql, mysql, pdf, txt"
ERP,17881,liberar acesso coligada usuario permissoes coligada,30/06/2025 10:48:50,900,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17880,realizar cancelamento baixa feito errada vinculado realizar cancelamento erros,30/06/2025 10:48:43,1500,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,17879,computador lento demorando,30/06/2025 10:09:07,1200,8,"xml, sql, mysql, pdf, txt"
Infrastructure,17878,acesso rede,30/06/2025 09:26:20,180,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17877,efetuar bloqueio acessos colaborador,30/06/2025 09:06:54,300,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,17876,instalar equipamento wandra liberar permissao administrador usuario utiliza,30/06/2025 09:06:16,960,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17875,acessar,30/06/2025 08:55:44,60,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17874,pendencia aprovacao ferias colaboradora aparece portal,30/06/2025 08:48:08,1260,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,17872,baixa adiantamento baixa contabilizada,30/06/2025 08:45:03,19800,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,17871,usuario bloqueado cancelamento usuarios joycy desligamento engenheira assumira aprovacoes joycy novolar liberar acesso aprovacao nisge estoril mirante vista vista prime view,30/06/2025 08:34:31,300,0,"first, seven, not, three, public"
ERP,17870,bresse puxando premio assiduidade colaboradores direito regras atendidas verificamos identificamos pedir evento entra folha zerado jardins puxou,30/06/2025 07:36:50,3960,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,17869,hub importando saida periodo fechar,30/06/2025 06:09:14,1680,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,17867,cancelar acessos funcionario,29/06/2025 13:07:53,360,3,"instalar, liberar, transferir, recuperar, portar"
ERP,17866,liberacao batida remoto possuo rotina visita obras precisaria liberacao bater entrada saida almoco,27/06/2025 18:30:02,540,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,17865,esclarecimentos necessidade prospectos itens processo licitatorio informatica listados fosse apontado individualmente item necessario prospecto,27/06/2025 15:55:51,1920,4,"modelos, produtos, itens, fornecedores, cadastros"
