palavras_topico;Macro;Micro
interface;infraestrutura;monitoramento
internet;infraestrutura;rede
intranet;infraestrutura;rede
invalido;NR;NR
inves;NR;NR
investimentos;erp;financeiro
iptu;erp;contabil/fiscal
irrf;erp;contabil/fiscal
irrf_deduzir;erp;folha_pagamento
iss;erp;contabil/fiscal
items;NR;NR
jar;erp;incorporação
junto;NR;NR
laboratorio;NR;NR
lancar;erp;financeiro
laptop;infraestrutura;hardware
learn;NR;NR
legalmente;NR;NR
legalmente_protegido;NR;NR
lei_eliminar;NR;NR
lembrando;NR;NR
lenovoemc_shut;NR;NR
lentidao;infraestrutura;hardware
levar;NR;NR
licenciamento;erp;contabil/fiscal
ligando;NR;NR
limitar;NR;NR
liquido_salarial;erp;folha_pagamento
livre_volume;NR;NR
localizador;NR;NR
login;infraestrutura;acesso
loop;NR;NR
louvera_priva;NR;NR
lucro;erp;contabil/fiscal
madureira;NR;NR
mails;infraestrutura;software
manda;NR;NR
manha;NR;NR
mapa_dept;erp;faturamento
maquinas;infraestrutura;hardware
material;erp;faturamento
media;erp;folha_pagamento
mediacao_social;NR;NR
medicao;erp;obras
medicoes;erp;obras
medidas;NR;NR
medido;erp;obras
medio_revisem;NR;NR
memoria;infraestrutura;hardware
memory_utilization;infraestrutura;monitoramento
mendonca_coordenadora;NR;NR
mensal;NR;NR
mistake_ask;NR;NR
mkt_customer;NR;NR
monitor_alerts;infraestrutura;monitoramento
monitoramento;infraestrutura;monitoramento
mostra;NR;NR
mouse;infraestrutura;hardware
multi_factor;infraestrutura;acesso
mutuo;erp;financeiro
ndeg;NR;NR
necessaria;NR;NR
necessariamente_vista;NR;NR
necessario;NR;NR
negociacao;NR;NR
nela;NR;NR
nexus;NR;NR
normal;NR;NR
notamos;NR;NR
notas_fiscais;erp;contabil/fiscal
note;infraestrutura;hardware
notebook;infraestrutura;hardware
notebooks;infraestrutura;hardware
objetivo;NR;NR
obrigacionais_expedida;erp;contabil/fiscal
obrigacoes;erp;contabil/fiscal
observacoes;NR;NR
observados_principios;NR;NR
obtencao_ilicito;NR;NR
obter;NR;NR
obter_outlook;infraestrutura;software
obtercontacontabil;erp;contabil/fiscal
offer;NR;NR
office;infraestrutura;software
offline_minutos;infraestrutura;monitoramento
oje;NR;NR
ola;NR;NR
onedrive;infraestrutura;software
online;NR;NR
oportunidade;NR;NR
orcamentaria;erp;contabil/fiscal
orcamentarias;erp;contabil/fiscal
orcamento;erp;obras
orcamento_obras;erp;obras
orcamentos;erp;faturamento
ordem_compra;erp;faturamento
pacote_office;infraestrutura;software
pagamento;erp;financeiro
pages;NR;NR
pago;erp;financeiro
pagou;erp;financeiro
painel;erp;customizacao
parametrizar;erp;contabil/fiscal
parceiros;erp;incorporação
parcelas;erp;incorporação
parcial;erp;financeiro
parou;NR;NR
parties_guarantee;NR;NR
passa;NR;NR
passar;NR;NR
password;infraestrutura;acesso
pasta;infraestrutura;rede
pastas;infraestrutura;rede
pastas_redes;infraestrutura;rede
patch;infraestrutura;software
patches_condicao;infraestrutura;software
pbh;erp;contabil/fiscal
pede;NR;NR
pediu;NR;NR
pendencias;NR;NR
pense_responsabilidade;NR;NR
percent;erp;faturamento
percentual;erp;faturamento
perfil;erp;faturamento
performance;infraestrutura;hardware
pergunta;NR;NR
pericias;erp;customizacao
period;erp;folha_pagamento
periodo_aquisitivo;erp;folha_pagamento
permanece;NR;NR
permitido;NR;NR
pesquisa;NR;NR
pessimo;NR;NR
pessoas_autorizadas;erp;faturamento
piloto;NR;NR
pis_cofins;erp;contabil/fiscal
placa;NR;NR
planejamento;erp;obras
planilha;erp;customizacao
plataforma;NR;NR
podendo_imputada;NR;NR
pontual;erp;incorporação
pontual_faleiros;erp;incorporação
pool_bkp;infraestrutura;backup
portal;erp;customizacao
posicionar;NR;NR
possa;NR;NR
precisa;NR;NR
preenchimento;NR;NR
presencial;NR;NR
presentes_lei;NR;NR
prestadora;NR;NR
prestes;NR;NR
previo;erp;folha_pagamento
previsao;erp;financeiro
prevista;erp;obras
previstas;erp;obras
previsto;erp;obras
print;NR;NR
priva_fazerem;NR;NR
probema;NR;NR
procedimentos;NR;NR
processando;erp;faturamento
produto;erp;faturamento
program_product;infraestrutura;monitoramento
projecao;infraestrutura;hardware
projetor;infraestrutura;hardware
pronta;NR;NR
proposito;NR;NR
propostos_duvidas;NR;NR
protection_reconstructed;infraestrutura;monitoramento
proventos;erp;folha_pagamento
proventos_descontos;erp;folha_pagamento
providenciar_quesitos;erp;folha_pagamento
provisao;erp;folha_pagamento
puxa;NR;NR
puxando;NR;NR
quadro;NR;NR
quantidade;NR;NR
querendo;NR;NR
rastreio_pintadas;erp;faturamento
rateio;erp;faturamento
rateios;erp;faturamento
reach;NR;NR
read;NR;NR
read_privacy;NR;NR
reajustar;erp;incorporação
realmente;NR;NR
rec;erp;financeiro
recebendo;erp;financeiro
recebido_retorne;erp;financeiro
recebiveis_patrickao;erp;financeiro
receida_distriution;erp;contabil/fiscal
receita;erp;contabil/fiscal
receiving;NR;NR
recentemente;NR;NR
recoverable_device;infraestrutura;backup
recovery_services;infraestrutura;backup
recuperar;infraestrutura;backup
rede;infraestrutura;rede
redentora;erp;incorporação
reembolso;erp;financeiro
refer;erp;faturamento
reflorestamento;erp;faturamento
refrigeracao;infraestrutura;hardware
reiniciei;NR;NR
reinicio;NR;NR
relacionamento;NR;NR
relatorio;erp;customizacao
relatorios;erp;customizacao
remote_server;infraestrutura;servidor
remoto;infraestrutura;acesso
remover;NR;NR
remuneracao;erp;folha_pagamento
reparo;infraestrutura;hardware
repente;NR;NR
reprovado;erp;faturamento
request;NR;NR
rescindida;erp;folha_pagamento
rescisao;erp;folha_pagamento
rescisoes;erp;folha_pagamento
resetar;infraestrutura;servidor
resgatado;NR;NR
respects_privacy;NR;NR
responde;NR;NR
respondendo_eletronica;NR;NR
ressaltar;NR;NR
restart;infraestrutura;servidor
retorna;NR;NR
retorne;NR;NR
retransmissao_constitui;NR;NR
revisem_tomem;NR;NR
rfgkl;NR;NR
rigleia;NR;NR
rodando;NR;NR
rotina;NR;NR
sabado;NR;NR
saffengenharia;infraestrutura;software
sai;NR;NR
saisse;NR;NR
salario;erp;folha_pagamento
saldo;erp;contabil/fiscal
salto_dourado;NR;NR
salvar;NR;NR
salvo;NR;NR
samarco;erp;faturamento
sanado;NR;NR
scanner;infraestrutura;hardware
scontabilizacao;erp;contabil/fiscal
sebrae;erp;contabil/fiscal
see;NR;NR
seg;NR;NR
seja_nomeado;NR;NR
selt;erp;customizacao
senarminas;erp;customizacao
senarminas_fazerem;erp;customizacao
senha;infraestrutura;acesso
senhas;infraestrutura;acesso
separar;NR;NR
servidor;infraestrutura;servidor
servidores;infraestrutura;servidor
set;NR;NR
sincronizando;infraestrutura;rede
socio_diretor;NR;NR
softwares;infraestrutura;software
somasrvw;infraestrutura;rede
somatorio;erp;faturamento
sozinho;NR;NR
spe;erp;contabil/fiscal
sped;erp;contabil/fiscal
srvaplicacao;infraestrutura;servidor
srvrentallpolitica;infraestrutura;servidor
srvsaff;infraestrutura;servidor
subpastas;infraestrutura;rede
subscription_select;NR;NR
sujeitando_infrator;NR;NR
suporta;NR;NR
suprimentos_lisboa;infraestrutura;hardware
survey_part;NR;NR
sustentabilidade_dominio;infraestrutura;rede
tablet;infraestrutura;hardware
tarefa;erp;obras
teams;infraestrutura;software
teclado;infraestrutura;hardware
telefone;NR;NR
temporario;NR;NR
tenant;infraestrutura;rede
tenta;NR;NR
tentando;NR;NR
tento;NR;NR
tentou;NR;NR
terca;NR;NR
terese_gieselman;NR;NR
testes;NR;NR
tomem_medidas;NR;NR
totvs;erp;faturamento
tpolicy;infraestrutura;monitoramento
tppolitica;NR;NR
trainee;NR;NR
trama_trama;NR;NR
transforma;NR;NR
transformar;NR;NR
transportadora_graos;erp;faturamento
transporte;erp;faturamento
transtornos;NR;NR
tratar;NR;NR
tratativa_esforcos;NR;NR
tratativas;NR;NR
travamento;NR;NR
travamentos;NR;NR
travando;NR;NR
trazer;NR;NR
trct;erp;contabil/fiscal
tributarias_lotacao;erp;contabil/fiscal
tributo;erp;contabil/fiscal
trocar;NR;NR
true_recalculo;erp;folha_pagamento
tss;erp;contabil/fiscal
unidade;erp;faturamento
unitarios;erp;faturamento
updating;NR;NR
usados_divulgados;NR;NR
usara;NR;NR
usava;NR;NR
utilizando;NR;NR
vale_transporte;erp;folha_pagamento
valias;erp;incorporação
valores;erp;faturamento
vaults;infraestrutura;hardware
vencimento;erp;financeiro
venda;erp;incorporação
verificacao;NR;NR
vicentini;NR;NR
vicentini_engenheiro;NR;NR
virgula;NR;NR
visit_promotional;NR;NR
volta;NR;NR
voltar;NR;NR
volume_disco;infraestrutura;hardware
vpn;infraestrutura;rede
want;NR;NR
way_redmond;NR;NR
whatsapp;NR;NR
windows_server;infraestrutura;software
windows_workstation;infraestrutura;hardware
windows_worstation;infraestrutura;hardware
wipro;infraestrutura;software
word;infraestrutura;software
workstation_condicao;infraestrutura;monitoramento
worstation_patches;infraestrutura;software
xml;erp;faturamento
xsao;NR;NR
zap;NR;NR
